SMILES,Name,Cluster
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1Cl,95481046,1
O=C(/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1)[C@H]1CCCO1,105350037,11
Cc1ccc(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1C,5516533,1
O=C(COc1ccccc1)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,15894462,1
CCN(CC)c1ccc(N2/C(=N/C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,6659765,10
COc1ccc(N2/C(=N/C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1Cl,6660122,11
Cc1cccc(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1C,5341656,1
Cc1ccc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,5488655,1
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)cc(Cl)c1,102611682,1
O=C(COc1ccccc1)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,95915228,1
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCCO2,245324842,11
C=C[C@@H]1[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)OC=C(C(=O)O)[C@@H]1CC(=O)O,34235761,0
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@H]2[C@@H]1C[C@H](O)[C@@H]2C,4104828,4
COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)C(=O)C[C@@H]12,67912736,4
COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]2[C@H](C)CC(=O)[C@@H]12,106754598,4
COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H]1C[C@@H](O)[C@@H]2C,103214651,4
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@H]1CC[C@]2(C)O,34166788,4
C[C@@H]1[C@H](O)C[C@H]2C(C(=O)O)=CO[C@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]12,1529054541,4
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@@H]12,36377990,4
COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@H]2[C@H](C)CC(=O)[C@@H]12,4082213,4
C=C[C@@H]1[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)OC=C(C(=O)OC)[C@@H]1CC=O,1529302,12
